Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt,Debt_per_capita,Defunciones,Euribor,GDP_Value,High_DJ,High_EURO,High_y,IPC,Low_DJ,Low_EURO,Low_y,Ocupados,Open_DJ,Open_EURO,Open_y,Parados,Paro(%),Percentage,Price_EURO
2005-01-03,57.38,20857.4,9124.09082,1277.0,9124.099609,10729.43,396026.0,9147.0,11.299,2.3121,0.9816,10892.67,1.3582,9154.299805,-0.8,10694.18,1.3386,9057.5,18736.1,10783.75,1.3547,9085.200195,2121.3,10.17,46.08,1.3463
2005-01-04,57.38,20857.4,9119.991211,1277.0,9120.0,10630.78,396026.0,9147.0,11.299,2.3121,0.9816,10803.62,1.3496,9139.900391,-0.8,10587.48,1.3249,9094.200195,18736.1,10727.81,1.3466,9117.599609,2121.3,10.17,46.08,1.3272
2005-01-05,57.38,20857.4,9024.391602,1277.0,9024.400391,10597.83,396026.0,9147.0,11.299,2.3121,0.9816,10736.16,1.3305,9066.200195,-0.8,10561.03,1.3215,9018.700195,18736.1,10629.53,1.3282,9064.400391,2121.3,10.17,46.08,1.3262
2005-01-07,57.38,20857.4,9041.09082,1277.0,9041.099609,10603.96,396026.0,9147.0,11.299,2.3121,0.9816,10697.81,1.3251,9072.900391,-0.8,10545.8,1.3024,9008.900391,18736.1,10624.8,1.3171,9055.400391,2121.3,10.17,46.08,1.3054
2005-01-10,57.38,20857.4,9028.491211,1277.0,9028.5,10621.03,396026.0,9147.0,11.057,2.3121,0.9816,10696.85,1.3124,9058.799805,-0.8,10544.99,1.3049,9003.599609,18736.1,10603.44,1.3061,9045.599609,2121.3,10.17,46.08,1.3084
2005-01-11,57.38,20857.4,8966.391602,1277.0,8966.400391,10556.22,396026.0,9147.0,11.057,2.3121,0.9816,10632.63,1.3172,9052.200195,-0.8,10504.72,1.3066,8952.099609,18736.1,10619.77,1.308,9039.400391,2121.3,10.17,46.08,1.3114
2005-01-12,57.38,20857.4,8945.691406,1277.0,8945.700195,10617.78,396026.0,9147.0,11.057,2.3121,0.9816,10648.52,1.3294,8983.599609,-0.8,10481.37,1.3082,8919.900391,18736.1,10561.32,1.3109,8971.400391,2121.3,10.17,46.08,1.3265
2005-01-13,57.38,20857.4,9016.791016,1277.0,9016.799805,10505.83,396026.0,9147.0,11.057,2.3121,0.9816,10650.96,1.3268,9016.799805,-0.8,10463.26,1.3192,8972.0,18736.1,10617.41,1.3257,8974.799805,2121.3,10.17,46.08,1.3218
2005-01-14,57.38,20857.4,9025.09082,1277.0,9025.099609,10558.0,396026.0,9147.0,11.057,2.3121,0.9816,10606.47,1.3226,9033.599609,-0.8,10475.01,1.3056,8968.400391,18736.1,10506.71,1.3218,8970.299805,2121.3,10.17,46.08,1.3106
2005-01-18,57.38,20857.4,9096.891602,1277.0,9096.900391,10628.79,396026.0,9147.0,10.154,2.3121,0.9816,10665.44,1.3076,9104.799805,-0.8,10456.61,1.2994,9040.700195,18736.1,10554.23,1.3061,9085.799805,2121.3,10.17,46.08,1.3027
