Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt,Debt_per_capita,Defunciones,Euribor,GDP_Value,High_DJ,High_EURO,High_y,IPC,Low_DJ,Low_EURO,Low_y,Ocupados,Open_DJ,Open_EURO,Open_y,Parados,Paro(%),Percentage,Price_EURO
2005-11-11,58.08,21369.5,10510.289063,1277.0,10510.299805,10686.04,382665.0,8764.0,7.051,2.6844,1.0015,10725.99,1.1735,10518.900391,0.2,10595.89,1.1671,10471.400391,19509.2,10641.3,1.1685,10491.400391,1860.3,8.71,42.07,1.1724
2005-11-14,58.08,21369.5,10504.588867,1277.0,10504.599609,10697.17,382665.0,8764.0,7.025,2.6844,1.0015,10756.88,1.1774,10561.700195,0.2,10618.89,1.166,10473.799805,19509.2,10686.6,1.1723,10490.700195,1860.3,8.71,42.07,1.1694
2005-11-15,58.08,21369.5,10456.289063,1277.0,10456.299805,10686.44,382665.0,8764.0,7.025,2.6844,1.0015,10783.62,1.1732,10508.200195,0.2,10610.08,1.1641,10413.0,19509.2,10697.01,1.169,10489.599609,1860.3,8.71,42.07,1.1721
2005-11-16,58.08,21369.5,10391.689453,1277.0,10391.700195,10674.76,382665.0,8764.0,7.025,2.6844,1.0015,10780.98,1.1738,10455.5,0.2,10574.46,1.1643,10338.700195,19509.2,10683.03,1.1719,10453.5,1860.3,8.71,42.07,1.1672
2005-11-17,58.08,21369.5,10445.189453,1277.0,10445.200195,10720.22,382665.0,8764.0,7.025,2.6844,1.0015,10778.5,1.1765,10468.400391,0.2,10619.61,1.1639,10421.099609,19509.2,10677.0,1.1667,10430.900391,1860.3,8.71,42.07,1.1759
2005-11-18,58.08,21369.5,10527.088867,1277.0,10527.099609,10766.33,382665.0,8764.0,7.025,2.6844,1.0015,10865.58,1.1795,10577.299805,0.2,10663.79,1.1662,10485.900391,19509.2,10719.34,1.1757,10502.299805,1860.3,8.71,42.07,1.1768
2005-11-21,58.08,21369.5,10535.088867,1277.0,10535.099609,10820.28,382665.0,8764.0,7.528,2.6844,1.0015,10871.11,1.1841,10556.900391,0.2,10708.86,1.1717,10498.200195,19509.2,10766.33,1.1776,10532.900391,1860.3,8.71,42.07,1.1728
2005-11-22,58.08,21369.5,10522.889648,1277.0,10522.900391,10871.43,382665.0,8764.0,7.528,2.6844,1.0015,10907.77,1.1825,10559.099609,0.2,10729.99,1.1684,10491.700195,19509.2,10815.96,1.1728,10557.400391,1860.3,8.71,42.07,1.1812
2005-11-23,58.08,21369.5,10626.689453,1277.0,10626.700195,10916.09,382665.0,8764.0,7.528,2.6844,1.0015,10974.84,1.1865,10631.799805,0.2,10825.32,1.1761,10534.799805,19509.2,10871.43,1.182,10544.599609,1860.3,8.71,42.07,1.182
2005-11-25,58.08,21369.5,10656.289063,1277.0,10656.299805,10931.62,382665.0,8764.0,7.528,2.6844,1.0015,10997.5,1.179,10672.599609,0.2,10883.55,1.1708,10625.0,19509.2,10915.13,1.1787,10649.299805,1860.3,8.71,42.07,1.1724
2005-11-28,58.08,21369.5,10618.789063,1277.0,10618.799805,10890.72,382665.0,8764.0,7.153,2.6844,1.0015,10992.39,1.1905,10716.799805,0.2,10839.37,1.1682,10609.599609,19509.2,10932.74,1.1716,10677.200195,1860.3,8.71,42.07,1.1851
2005-11-29,58.08,21369.5,10620.088867,1277.0,10620.099609,10888.16,382665.0,8764.0,7.153,2.6844,1.0015,10994.85,1.1864,10657.900391,0.2,10850.29,1.1738,10583.0,19509.2,10888.48,1.1845,10604.200195,1860.3,8.71,42.07,1.1785
