Date,IPC,Open,High,Low,Close,AdjClose,GDP_Value,Euribor,Price_EUR,Open_EUR,High_EUR,Low_EUR,Open_DJ,High_DJ,Low_DJ,Close_DJ,Total_debt,Percentage,Debt_per_capita,Defunciones,Births,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2002-01-01,0.4,8434.900391,8519.700195,8397.599609,8397.599609,8397.59082,0.4307,3.4832,0.8895,0.8909,0.8913,0.8863,10133.94,10220.78,10067.17,10136.99,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-02,-0.1,8397.599609,8446.599609,8247.700195,8377.099609,8377.09082,0.4307,3.4832,0.9036,0.8896,0.9069,0.8883,10021.71,10125.85,9889.69,10073.4,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-03,-0.1,8408.799805,8575.799805,8408.799805,8554.700195,8554.691406,0.4307,3.4832,0.8996,0.9039,0.9062,0.8976,10073.88,10227.36,10002.54,10172.14,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-04,-0.1,8554.700195,8608.5,8416.299805,8463.099609,8463.09082,0.4307,3.4832,0.895,0.8987,0.9003,0.8937,10176.84,10341.87,10132.14,10259.74,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-05,-0.1,8554.700195,8608.5,8416.299805,8463.099609,8463.09082,0.4307,3.4832,0.895,0.8987,0.9003,0.8937,10176.84,10341.87,10132.14,10259.74,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-06,-0.1,8554.700195,8608.5,8416.299805,8463.099609,8463.09082,0.4307,3.4832,0.895,0.8987,0.9003,0.8937,10176.84,10341.87,10132.14,10259.74,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-07,-0.1,8463.099609,8506.200195,8156.600098,8177.299805,8177.291504,0.4307,3.4832,0.8935,0.8951,0.8998,0.888,10261.33,10345.4,10137.61,10197.05,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-08,-0.1,8177.299805,8262.400391,8105.100098,8186.600098,8186.591797,0.4307,3.4832,0.8931,0.8936,0.8938,0.8881,10195.76,10270.53,10063.43,10150.55,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-09,-0.1,8186.600098,8234.5,7968.5,8066.100098,8066.091797,0.4307,3.4832,0.8914,0.8933,0.8953,0.8864,10153.18,10311.98,10049.25,10094.09,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-10,-0.1,8011.100098,8011.100098,7835.299805,7935.399902,7935.39209,0.4307,3.4832,0.8914,0.8909,0.894,0.8898,10092.5,10174.91,9956.67,10067.86,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-11,-0.1,7935.399902,8085.799805,7914.0,7983.100098,7983.091797,0.4307,3.4832,0.8926,0.8914,0.8934,0.8896,10069.52,10163.77,9938.12,9987.53,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
2002-01-12,-0.1,7935.399902,8085.799805,7914.0,7983.100098,7983.091797,0.4307,3.4832,0.8926,0.8914,0.8934,0.8896,10069.52,10163.77,9938.12,9987.53,384145.0,51.2,9184.0,1009,1147.0,18635.1,16482.3,2152.8,54.06,11.55
