Date,Euribor,IPC,Price_EURO,Open_EURO,High_EURO,Low_EURO,Defunciones,Debt,Percentage,Debt_per_capita,Activos,Ocupados,Parados,Actividad(%),Paro(%),GDP_Value, Open_DJ, High_DJ, Low_DJ, Close_DJ,Open_y,High_y,Low_y,Close,AdjClose,Volume
2002-01-02,3.4832,-0.1,0.9036,0.8896,0.9069,0.8883,9.12,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10021.71,10125.85,9889.69,10073.4,8397.599609,8446.599609,8247.700195,8377.099609,8377.09082,80800
2002-01-03,3.4832,-0.1,0.8996,0.9039,0.9062,0.8976,9.12,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10073.88,10227.36,10002.54,10172.14,8408.799805,8575.799805,8408.799805,8554.700195,8554.691406,99400
2002-01-04,3.4832,-0.1,0.895,0.8987,0.9003,0.8937,9.12,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10176.84,10341.87,10132.14,10259.74,8554.700195,8608.5,8416.299805,8463.099609,8463.09082,125000
2002-01-07,3.4832,-0.1,0.8935,0.8951,0.8998,0.888,9.076,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10261.33,10345.4,10137.61,10197.05,8463.099609,8506.200195,8156.600098,8177.299805,8177.291504,143200
2002-01-08,3.4832,-0.1,0.8931,0.8936,0.8938,0.8881,9.076,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10195.76,10270.53,10063.43,10150.55,8177.299805,8262.400391,8105.100098,8186.600098,8186.591797,126600
2002-01-09,3.4832,-0.1,0.8914,0.8933,0.8953,0.8864,9.076,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10153.18,10311.98,10049.25,10094.09,8186.600098,8234.5,7968.5,8066.100098,8066.091797,121600
2002-01-10,3.4832,-0.1,0.8914,0.8909,0.894,0.8898,9.076,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10092.5,10174.91,9956.67,10067.86,8011.100098,8011.100098,7835.299805,7935.399902,7935.39209,153600
2002-01-11,3.4832,-0.1,0.8926,0.8914,0.8934,0.8896,9.076,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,10069.52,10163.77,9938.12,9987.53,7935.399902,8085.799805,7914.0,7983.100098,7983.091797,127400
2002-01-14,3.4832,-0.1,0.8944,0.8943,0.8956,0.8913,8.968,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9985.38,10038.87,9831.98,9891.42,7944.799805,7944.799805,7759.700195,7800.299805,7800.291992,107200
2002-01-15,3.4832,-0.1,0.8834,0.8946,0.8947,0.8826,8.968,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9892.73,10038.94,9805.33,9924.15,7800.299805,7975.299805,7737.700195,7948.700195,7948.692383,132000
2002-01-16,3.4832,-0.1,0.8829,0.8828,0.8847,0.8796,8.968,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9916.54,9923.32,9661.0,9712.27,7905.200195,7905.200195,7783.100098,7804.100098,7804.092285,119600
2002-01-17,3.4832,-0.1,0.8806,0.8825,0.8853,0.8786,8.968,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9712.21,9910.11,9684.39,9850.04,7848.5,8014.5,7848.5,7977.5,7977.491699,120600
2002-01-18,3.4832,-0.1,0.8843,0.8814,0.8859,0.8789,8.968,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9830.94,9873.98,9673.11,9771.85,7977.5,8021.0,7898.399902,8008.799805,8008.791504,99800
2002-01-22,3.4832,-0.1,0.8861,0.8837,0.8867,0.881,8.798,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9772.34,9905.26,9652.01,9713.8,7902.5,8090.399902,7825.899902,8033.100098,8033.091797,107800
2002-01-23,3.4832,-0.1,0.8779,0.8863,0.8892,0.8767,8.798,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9710.96,9853.64,9588.49,9730.96,8033.100098,8078.299805,7926.600098,8078.299805,8078.291504,104800
2002-01-24,3.4832,-0.1,0.8774,0.8784,0.8795,0.8749,8.798,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9734.21,9926.71,9670.99,9796.07,8078.299805,8232.799805,8045.600098,8213.299805,8213.291016,117500
2002-01-25,3.4832,-0.1,0.8661,0.8779,0.8787,0.8627,8.798,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9793.23,9949.54,9697.47,9840.08,8213.299805,8228.5,8103.399902,8185.0,8184.991699,89000
2002-01-28,3.4832,-0.1,0.8627,0.865,0.8664,0.8569,8.845,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9843.05,9959.44,9746.66,9865.75,8196.599609,8293.299805,8196.599609,8273.099609,8273.09082,100300
2002-01-29,3.4832,-0.1,0.8655,0.8623,0.866,0.8591,8.845,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9865.54,9952.59,9576.65,9618.24,8273.099609,8319.599609,8163.600098,8178.399902,8178.391602,96800
2002-01-30,3.4832,-0.1,0.8617,0.8655,0.8676,0.8599,8.845,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9619.14,9821.81,9443.32,9762.86,8088.700195,8088.700195,7974.0,8019.700195,8019.691895,114100
2002-01-31,3.4832,-0.1,0.8585,0.8618,0.865,0.8577,8.845,379018.0,54.07,9236 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9763.2,9963.79,9701.76,9920.0,8019.700195,8140.299805,8006.700195,8050.399902,8050.391602,88400
2002-02-01,3.5936,0.1,0.8621,0.8589,0.8644,0.8562,8.845,375773.0,53.61,9157 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9923.04,10022.82,9795.45,9907.26,8067.0,8189.200195,8067.0,8171.100098,8171.091797,81200
2002-02-04,3.5936,0.1,0.8706,0.8619,0.8715,0.8602,8.518,375773.0,53.61,9157 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9905.46,9940.96,9648.55,9687.09,8122.299805,8122.299805,7986.200195,8014.299805,8014.291504,124500
2002-02-05,3.5936,0.1,0.8677,0.8706,0.8732,0.8651,8.518,375773.0,53.61,9157 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9684.74,9842.77,9553.96,9685.43,7966.399902,7966.399902,7778.5,7852.700195,7852.692383,118400
2002-02-06,3.5936,0.1,0.8676,0.867,0.8708,0.8631,8.518,375773.0,53.61,9157 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9682.04,9801.33,9558.18,9653.39,7852.700195,7885.399902,7693.899902,7708.100098,7708.092285,128800
2002-02-07,3.5936,0.1,0.871,0.8679,0.872,0.8643,8.518,375773.0,53.61,9157 ,18635.1,16482.3,2152.8,54.06,11.55,0.4307,9650.97,9799.67,9562.12,9625.44,7708.100098,7872.399902,7645.600098,7872.399902,7872.39209,116800
