Date,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2001-01-01,17814.7,15866.3,1948.3,52.57,10.94
2001-01-02,17814.7,15866.3,1948.3,52.57,10.94
2001-01-03,17814.7,15866.3,1948.3,52.57,10.94
2001-01-04,17814.7,15866.3,1948.3,52.57,10.94
2001-01-05,17814.7,15866.3,1948.3,52.57,10.94
2001-01-06,17814.7,15866.3,1948.3,52.57,10.94
2001-01-07,17814.7,15866.3,1948.3,52.57,10.94
2001-01-08,17814.7,15866.3,1948.3,52.57,10.94
2001-01-09,17814.7,15866.3,1948.3,52.57,10.94
2001-01-10,17814.7,15866.3,1948.3,52.57,10.94
2001-01-11,17814.7,15866.3,1948.3,52.57,10.94
2001-01-12,17814.7,15866.3,1948.3,52.57,10.94
2001-01-13,17814.7,15866.3,1948.3,52.57,10.94
2001-01-14,17814.7,15866.3,1948.3,52.57,10.94
2001-01-15,17814.7,15866.3,1948.3,52.57,10.94
2001-01-16,17814.7,15866.3,1948.3,52.57,10.94
2001-01-17,17814.7,15866.3,1948.3,52.57,10.94
2001-01-18,17814.7,15866.3,1948.3,52.57,10.94
2001-01-19,17814.7,15866.3,1948.3,52.57,10.94
2001-01-20,17814.7,15866.3,1948.3,52.57,10.94
2001-01-21,17814.7,15866.3,1948.3,52.57,10.94
2001-01-22,17814.7,15866.3,1948.3,52.57,10.94
2001-01-23,17814.7,15866.3,1948.3,52.57,10.94
2001-01-24,17814.7,15866.3,1948.3,52.57,10.94
2001-01-25,17814.7,15866.3,1948.3,52.57,10.94
2001-01-26,17814.7,15866.3,1948.3,52.57,10.94
2001-01-27,17814.7,15866.3,1948.3,52.57,10.94
2001-01-28,17814.7,15866.3,1948.3,52.57,10.94
2001-01-29,17814.7,15866.3,1948.3,52.57,10.94
2001-01-30,17814.7,15866.3,1948.3,52.57,10.94
2001-01-31,17814.7,15866.3,1948.3,52.57,10.94
2001-02-01,17814.7,15866.3,1948.3,52.57,10.94
2001-02-02,17814.7,15866.3,1948.3,52.57,10.94
2001-02-03,17814.7,15866.3,1948.3,52.57,10.94
2001-02-04,17814.7,15866.3,1948.3,52.57,10.94
2001-02-05,17814.7,15866.3,1948.3,52.57,10.94
2001-02-06,17814.7,15866.3,1948.3,52.57,10.94
2001-02-07,17814.7,15866.3,1948.3,52.57,10.94
2001-02-08,17814.7,15866.3,1948.3,52.57,10.94
2001-02-09,17814.7,15866.3,1948.3,52.57,10.94
2001-02-10,17814.7,15866.3,1948.3,52.57,10.94
2001-02-11,17814.7,15866.3,1948.3,52.57,10.94
2001-02-12,17814.7,15866.3,1948.3,52.57,10.94
2001-02-13,17814.7,15866.3,1948.3,52.57,10.94
2001-02-14,17814.7,15866.3,1948.3,52.57,10.94
2001-02-15,17814.7,15866.3,1948.3,52.57,10.94
2001-02-16,17814.7,15866.3,1948.3,52.57,10.94
2001-02-17,17814.7,15866.3,1948.3,52.57,10.94
2001-02-18,17814.7,15866.3,1948.3,52.57,10.94
2001-02-19,17814.7,15866.3,1948.3,52.57,10.94
2001-02-20,17814.7,15866.3,1948.3,52.57,10.94
2001-02-21,17814.7,15866.3,1948.3,52.57,10.94
2001-02-22,17814.7,15866.3,1948.3,52.57,10.94
2001-02-23,17814.7,15866.3,1948.3,52.57,10.94
2001-02-24,17814.7,15866.3,1948.3,52.57,10.94
2001-02-25,17814.7,15866.3,1948.3,52.57,10.94
2001-02-26,17814.7,15866.3,1948.3,52.57,10.94
2001-02-27,17814.7,15866.3,1948.3,52.57,10.94
2001-02-28,17814.7,15866.3,1948.3,52.57,10.94
2001-03-01,17814.7,15866.3,1948.3,52.57,10.94
2001-03-02,17814.7,15866.3,1948.3,52.57,10.94
2001-03-03,17814.7,15866.3,1948.3,52.57,10.94
2001-03-04,17814.7,15866.3,1948.3,52.57,10.94
2001-03-05,17814.7,15866.3,1948.3,52.57,10.94
2001-03-06,17814.7,15866.3,1948.3,52.57,10.94
2001-03-07,17814.7,15866.3,1948.3,52.57,10.94
2001-03-08,17814.7,15866.3,1948.3,52.57,10.94
2001-03-09,17814.7,15866.3,1948.3,52.57,10.94
2001-03-10,17814.7,15866.3,1948.3,52.57,10.94
2001-03-11,17814.7,15866.3,1948.3,52.57,10.94
2001-03-12,17814.7,15866.3,1948.3,52.57,10.94
2001-03-13,17814.7,15866.3,1948.3,52.57,10.94
2001-03-14,17814.7,15866.3,1948.3,52.57,10.94
2001-03-15,17814.7,15866.3,1948.3,52.57,10.94
2001-03-16,17814.7,15866.3,1948.3,52.57,10.94
