Date,Births
2023-01-01,881
2023-01-02,881
2023-01-03,881
2023-01-04,881
2023-01-05,881
2023-01-06,881
2023-01-07,881
2023-01-08,881
2023-01-09,881
2023-01-10,881
2023-01-11,881
2023-01-12,881
2023-01-13,881
2023-01-14,881
2023-01-15,881
2023-01-16,881
2023-01-17,881
2023-01-18,881
2023-01-19,881
2023-01-20,881
2023-01-21,881
2023-01-22,881
2023-01-23,881
2023-01-24,881
2023-01-25,881
2023-01-26,881
2023-01-27,881
2023-01-28,881
2023-01-29,881
2023-01-30,881
2023-01-31,881
2023-02-01,881
2023-02-02,881
2023-02-03,881
2023-02-04,881
2023-02-05,881
2023-02-06,881
2023-02-07,881
2023-02-08,881
2023-02-09,881
2023-02-10,881
2023-02-11,881
2023-02-12,881
2023-02-13,881
2023-02-14,881
2023-02-15,881
2023-02-16,881
2023-02-17,881
2023-02-18,881
2023-02-19,881
2023-02-20,881
2023-02-21,881
2023-02-22,881
2023-02-23,881
2023-02-24,881
2023-02-25,881
2023-02-26,881
2023-02-27,881
2023-02-28,881
2023-03-01,881
2023-03-02,881
2023-03-03,881
2023-03-04,881
2023-03-05,881
2023-03-06,881
2023-03-07,881
2023-03-08,881
2023-03-09,881
2023-03-10,881
2023-03-11,881
2023-03-12,881
2023-03-13,881
2023-03-14,881
2023-03-15,881
2023-03-16,881
2023-03-17,881
2023-03-18,881
2023-03-19,881
2023-03-20,881
2023-03-21,881
2023-03-22,881
2023-03-23,881
2023-03-24,881
2023-03-25,881
2023-03-26,881
2023-03-27,881
2023-03-28,881
2023-03-29,881
2023-03-30,881
2023-03-31,881
2023-04-01,881
2023-04-02,881
2023-04-03,881
2023-04-04,881
2023-04-05,881
2023-04-06,881
2023-04-07,881
2023-04-08,881
2023-04-09,881
2023-04-10,881
2023-04-11,881
2023-04-12,881
2023-04-13,881
2023-04-14,881
2023-04-15,881
2023-04-16,881
2023-04-17,881
2023-04-18,881
2023-04-19,881
2023-04-20,881
2023-04-21,881
2023-04-22,881
2023-04-23,881
2023-04-24,881
2023-04-25,881
2023-04-26,881
2023-04-27,881
2023-04-28,881
2023-04-29,881
2023-04-30,881
2023-05-01,881
2023-05-02,881
2023-05-03,881
2023-05-04,881
2023-05-05,881
2023-05-06,881
2023-05-07,881
2023-05-08,881
2023-05-09,881
2023-05-10,881
2023-05-11,881
2023-05-12,881
2023-05-13,881
2023-05-14,881
2023-05-15,881
2023-05-16,881
2023-05-17,881
2023-05-18,881
2023-05-19,881
2023-05-20,881
2023-05-21,881
2023-05-22,881
2023-05-23,881
2023-05-24,881
2023-05-25,881
2023-05-26,881
2023-05-27,881
2023-05-28,881
2023-05-29,881
2023-05-30,881
2023-05-31,881
2023-06-01,881
2023-06-02,881
2023-06-03,881
2023-06-04,881
2023-06-05,881
2023-06-06,881
2023-06-07,881
2023-06-08,881
2023-06-09,881
2023-06-10,881
2023-06-11,881
2023-06-12,881
2023-06-13,881
2023-06-14,881
2023-06-15,881
2023-06-16,881
2023-06-17,881
2023-06-18,881
2023-06-19,881
2023-06-20,881
2023-06-21,881
2023-06-22,881
2023-06-23,881
2023-06-24,881
2023-06-25,881
2023-06-26,881
2023-06-27,881
2023-06-28,881
2023-06-29,881
2023-06-30,881
2023-07-01,881
2023-07-02,881
2023-07-03,881
2023-07-04,881
2023-07-05,881
2023-07-06,881
2023-07-07,881
2023-07-08,881
2023-07-09,881
2023-07-10,881
2023-07-11,881
2023-07-12,881
2023-07-13,881
2023-07-14,881
2023-07-15,881
2023-07-16,881
2023-07-17,881
2023-07-18,881
2023-07-19,881
2023-07-20,881
2023-07-21,881
2023-07-22,881
2023-07-23,881
2023-07-24,881
2023-07-25,881
2023-07-26,881
2023-07-27,881
2023-07-28,881
2023-07-29,881
2023-07-30,881
2023-07-31,881
2023-08-01,881
2023-08-02,881
2023-08-03,881
2023-08-04,881
2023-08-05,881
2023-08-06,881
2023-08-07,881
2023-08-08,881
2023-08-09,881
2023-08-10,881
2023-08-11,881
2023-08-12,881
2023-08-13,881
2023-08-14,881
2023-08-15,881
2023-08-16,881
2023-08-17,881
2023-08-18,881
2023-08-19,881
2023-08-20,881
2023-08-21,881
2023-08-22,881
2023-08-23,881
2023-08-24,881
2023-08-25,881
2023-08-26,881
2023-08-27,881
2023-08-28,881
2023-08-29,881
2023-08-30,881
2023-08-31,881
2023-09-01,881
2023-09-02,881
2023-09-03,881
2023-09-04,881
2023-09-05,881
2023-09-06,881
2023-09-07,881
2023-09-08,881
2023-09-09,881
2023-09-10,881
2023-09-11,881
2023-09-12,881
2023-09-13,881
2023-09-14,881
2023-09-15,881
2023-09-16,881
2023-09-17,881
2023-09-18,881
2023-09-19,881
2023-09-20,881
2023-09-21,881
2023-09-22,881
2023-09-23,881
2023-09-24,881
2023-09-25,881
2023-09-26,881
2023-09-27,881
2023-09-28,881
2023-09-29,881
2023-09-30,881
2023-10-01,881
2023-10-02,881
2023-10-03,881
2023-10-04,881
2023-10-05,881
2023-10-06,881
2023-10-07,881
2023-10-08,881
2023-10-09,881
2023-10-10,881
2023-10-11,881
2023-10-12,881
2023-10-13,881
2023-10-14,881
2023-10-15,881
2023-10-16,881
2023-10-17,881
2023-10-18,881
2023-10-19,881
2023-10-20,881
2023-10-21,881
2023-10-22,881
2023-10-23,881
2023-10-24,881
2023-10-25,881
2023-10-26,881
2023-10-27,881
2023-10-28,881
2023-10-29,881
2023-10-30,881
2023-10-31,881
2023-11-01,881
2023-11-02,881
2023-11-03,881
2023-11-04,881
2023-11-05,881
2023-11-06,881
2023-11-07,881
2023-11-08,881
2023-11-09,881
2023-11-10,881
2023-11-11,881
2023-11-12,881
2023-11-13,881
2023-11-14,881
2023-11-15,881
2023-11-16,881
2023-11-17,881
2023-11-18,881
2023-11-19,881
2023-11-20,881
2023-11-21,881
2023-11-22,881
2023-11-23,881
2023-11-24,881
2023-11-25,881
2023-11-26,881
2023-11-27,881
2023-11-28,881
2023-11-29,881
2023-11-30,881
2023-12-01,881
2023-12-02,881
2023-12-03,881
2023-12-04,881
2023-12-05,881
2023-12-06,881
2023-12-07,881
2023-12-08,881
2023-12-09,881
2023-12-10,881
2023-12-11,881
2023-12-12,881
2023-12-13,881
2023-12-14,881
2023-12-15,881
2023-12-16,881
2023-12-17,881
2023-12-18,881
2023-12-19,881
2023-12-20,881
2023-12-21,881
2023-12-22,881
2023-12-23,881
2023-12-24,881
2023-12-25,881
2023-12-26,881
2023-12-27,881
2023-12-28,881
2023-12-29,881
2023-12-30,881
2023-12-31,881
