Unnamed: 0,Date,Debt,Percentage,Debt_per_capita
10499,1995-01-31,252452.0,59.39,6369 
10498,1995-01-30,252452.0,59.39,6369 
10495,1995-01-27,252452.0,59.39,6369 
10494,1995-01-26,252452.0,59.39,6369 
10493,1995-01-25,252452.0,59.39,6369 
10492,1995-01-24,252452.0,59.39,6369 
10491,1995-01-23,252452.0,59.39,6369 
10488,1995-01-20,252452.0,59.39,6369 
10487,1995-01-19,252452.0,59.39,6369 
10486,1995-01-18,252452.0,59.39,6369 
10485,1995-01-17,252452.0,59.39,6369 
10484,1995-01-16,252452.0,59.39,6369 
10481,1995-01-13,252452.0,59.39,6369 
10480,1995-01-12,252452.0,59.39,6369 
10479,1995-01-11,252452.0,59.39,6369 
10478,1995-01-10,252452.0,59.39,6369 
10477,1995-01-09,252452.0,59.39,6369 
10473,1995-01-05,252452.0,59.39,6369 
10472,1995-01-04,252452.0,59.39,6369 
10471,1995-01-03,252452.0,59.39,6369 
10470,1995-01-02,252452.0,59.39,6369 
10468,1995-02-28,259119.0,60.96,6537 
10467,1995-02-27,259119.0,60.96,6537 
10464,1995-02-24,259119.0,60.96,6537 
10463,1995-02-23,259119.0,60.96,6537 
10462,1995-02-22,259119.0,60.96,6537 
10461,1995-02-21,259119.0,60.96,6537 
10460,1995-02-20,259119.0,60.96,6537 
10457,1995-02-17,259119.0,60.96,6537 
10456,1995-02-16,259119.0,60.96,6537 
10455,1995-02-15,259119.0,60.96,6537 
10454,1995-02-14,259119.0,60.96,6537 
10453,1995-02-13,259119.0,60.96,6537 
10450,1995-02-10,259119.0,60.96,6537 
10449,1995-02-09,259119.0,60.96,6537 
10448,1995-02-08,259119.0,60.96,6537 
10447,1995-02-07,259119.0,60.96,6537 
10446,1995-02-06,259119.0,60.96,6537 
10443,1995-02-03,259119.0,60.96,6537 
10442,1995-02-02,259119.0,60.96,6537 
10441,1995-02-01,259119.0,60.96,6537 
10440,1995-03-31,261636.0,60.32,6600 
10439,1995-03-30,261636.0,60.32,6600 
