,Date,Euribor
0,2021-01-01,0.01
1,2021-01-02,0.01
2,2021-01-03,0.01
3,2021-01-04,0.01
4,2021-01-05,0.01
5,2021-01-06,0.01
6,2021-01-07,0.01
7,2021-01-08,0.01
8,2021-01-09,0.01
9,2021-01-10,0.01
10,2021-01-11,0.01
11,2021-01-12,0.01
12,2021-01-13,0.01
13,2021-01-14,0.01
14,2021-01-15,0.01
15,2021-01-16,0.01
16,2021-01-17,0.01
17,2021-01-18,0.01
18,2021-01-19,0.01
19,2021-01-20,0.01
20,2021-01-21,0.01
21,2021-01-22,0.01
22,2021-01-23,0.01
23,2021-01-24,0.01
24,2021-01-25,0.01
25,2021-01-26,0.01
26,2021-01-27,0.01
27,2021-01-28,0.01
28,2021-01-29,0.01
29,2021-01-30,0.01
30,2021-01-31,0.01
31,2021-02-01,-0.59
32,2021-02-02,-0.59
33,2021-02-03,-0.59
34,2021-02-04,-0.59
35,2021-02-05,-0.59
36,2021-02-06,-0.59
37,2021-02-07,-0.59
38,2021-02-08,-0.59
39,2021-02-09,-0.59
40,2021-02-10,-0.59
41,2021-02-11,-0.59
42,2021-02-12,-0.59
43,2021-02-13,-0.59
44,2021-02-14,-0.59
45,2021-02-15,-0.59
46,2021-02-16,-0.59
47,2021-02-17,-0.59
48,2021-02-18,-0.59
49,2021-02-19,-0.59
50,2021-02-20,-0.59
51,2021-02-21,-0.59
52,2021-02-22,-0.59
53,2021-02-23,-0.59
54,2021-02-24,-0.59
55,2021-02-25,-0.59
56,2021-02-26,-0.59
57,2021-02-27,-0.59
58,2021-02-28,-0.59
59,2021-03-01,0.97
60,2021-03-02,0.97
61,2021-03-03,0.97
62,2021-03-04,0.97
63,2021-03-05,0.97
64,2021-03-06,0.97
65,2021-03-07,0.97
66,2021-03-08,0.97
67,2021-03-09,0.97
68,2021-03-10,0.97
69,2021-03-11,0.97
70,2021-03-12,0.97
71,2021-03-13,0.97
72,2021-03-14,0.97
73,2021-03-15,0.97
74,2021-03-16,0.97
75,2021-03-17,0.97
76,2021-03-18,0.97
77,2021-03-19,0.97
78,2021-03-20,0.97
79,2021-03-21,0.97
80,2021-03-22,0.97
81,2021-03-23,0.97
82,2021-03-24,0.97
83,2021-03-25,0.97
84,2021-03-26,0.97
85,2021-03-27,0.97
86,2021-03-28,0.97
87,2021-03-29,0.97
88,2021-03-30,0.97
89,2021-03-31,0.97
90,2021-04-01,1.18
91,2021-04-02,1.18
92,2021-04-03,1.18
93,2021-04-04,1.18
94,2021-04-05,1.18
95,2021-04-06,1.18
96,2021-04-07,1.18
97,2021-04-08,1.18
98,2021-04-09,1.18
99,2021-04-10,1.18
100,2021-04-11,1.18
101,2021-04-12,1.18
102,2021-04-13,1.18
103,2021-04-14,1.18
104,2021-04-15,1.18
105,2021-04-16,1.18
106,2021-04-17,1.18
107,2021-04-18,1.18
108,2021-04-19,1.18
109,2021-04-20,1.18
110,2021-04-21,1.18
111,2021-04-22,1.18
112,2021-04-23,1.18
113,2021-04-24,1.18
114,2021-04-25,1.18
115,2021-04-26,1.18
116,2021-04-27,1.18
117,2021-04-28,1.18
118,2021-04-29,1.18
119,2021-04-30,1.18
120,2021-05-01,0.47
121,2021-05-02,0.47
122,2021-05-03,0.47
123,2021-05-04,0.47
124,2021-05-05,0.47
125,2021-05-06,0.47
126,2021-05-07,0.47
127,2021-05-08,0.47
128,2021-05-09,0.47
129,2021-05-10,0.47
130,2021-05-11,0.47
131,2021-05-12,0.47
132,2021-05-13,0.47
