Unnamed: 0,Date,IPC
10956,1994-01-31,1.0
10953,1994-01-28,1.0
10952,1994-01-27,1.0
10951,1994-01-26,1.0
10950,1994-01-25,1.0
10949,1994-01-24,1.0
10946,1994-01-21,1.0
10945,1994-01-20,1.0
10944,1994-01-19,1.0
10943,1994-01-18,1.0
10942,1994-01-17,1.0
10939,1994-01-14,1.0
10938,1994-01-13,1.0
10937,1994-01-12,1.0
10936,1994-01-11,1.0
10935,1994-01-10,1.0
10932,1994-01-07,1.0
10930,1994-01-05,1.0
10929,1994-01-04,1.0
10928,1994-01-03,1.0
10925,1994-02-28,0.0
10922,1994-02-25,0.0
10921,1994-02-24,0.0
10920,1994-02-23,0.0
10919,1994-02-22,0.0
10918,1994-02-21,0.0
10915,1994-02-18,0.0
10914,1994-02-17,0.0
10913,1994-02-16,0.0
10912,1994-02-15,0.0
10911,1994-02-14,0.0
10908,1994-02-11,0.0
10907,1994-02-10,0.0
10906,1994-02-09,0.0
10905,1994-02-08,0.0
10904,1994-02-07,0.0
10901,1994-02-04,0.0
10900,1994-02-03,0.0
10899,1994-02-02,0.0
10898,1994-02-01,0.0
10897,1994-03-31,0.3
10896,1994-03-30,0.3
10895,1994-03-29,0.3
10894,1994-03-28,0.3
10891,1994-03-25,0.3
10890,1994-03-24,0.3
10889,1994-03-23,0.3
10888,1994-03-22,0.3
10887,1994-03-21,0.3
10884,1994-03-18,0.3
10883,1994-03-17,0.3
10882,1994-03-16,0.3
10881,1994-03-15,0.3
10880,1994-03-14,0.3
10877,1994-03-11,0.3
10876,1994-03-10,0.3
10875,1994-03-09,0.3
10874,1994-03-08,0.3
10873,1994-03-07,0.3
10870,1994-03-04,0.3
10869,1994-03-03,0.3
10868,1994-03-02,0.3
10867,1994-03-01,0.3
10865,1994-04-29,0.4
10864,1994-04-28,0.4
10863,1994-04-27,0.4
10862,1994-04-26,0.4
10861,1994-04-25,0.4
10858,1994-04-22,0.4
10857,1994-04-21,0.4
10856,1994-04-20,0.4
10855,1994-04-19,0.4
10854,1994-04-18,0.4
10851,1994-04-15,0.4
10850,1994-04-14,0.4
10849,1994-04-13,0.4
10848,1994-04-12,0.4
10847,1994-04-11,0.4
10844,1994-04-08,0.4
10843,1994-04-07,0.4
10842,1994-04-06,0.4
10841,1994-04-05,0.4
10836,1994-05-31,0.2
10835,1994-05-30,0.2
10832,1994-05-27,0.2
10831,1994-05-26,0.2
10830,1994-05-25,0.2
10829,1994-05-24,0.2
10828,1994-05-23,0.2
10825,1994-05-20,0.2
10824,1994-05-19,0.2
10823,1994-05-18,0.2
10822,1994-05-17,0.2
10821,1994-05-16,0.2
10818,1994-05-13,0.2
10817,1994-05-12,0.2
10816,1994-05-11,0.2
10815,1994-05-10,0.2
10814,1994-05-09,0.2
10811,1994-05-06,0.2
10810,1994-05-05,0.2
10809,1994-05-04,0.2
10808,1994-05-03,0.2
10805,1994-06-30,0.1
10804,1994-06-29,0.1
10803,1994-06-28,0.1
