PERIODO,VALOR,TIPO DATO
2022,329.251,Definitivo
2021,337.380,Definitivo
2020,341.315,Definitivo
2019,360.617,Definitivo
2018,372.777,Definitivo
2017,393.181,Definitivo
2016,410.583,Definitivo
2015,420.290,Definitivo
2014,427.595,Definitivo
2013,425.715,Definitivo
2012,454.648,Definitivo
2011,471.999,Definitivo
2010,486.575,Definitivo
2009,494.997,Definitivo
2008,519.779,Definitivo
2007,492.527,Definitivo
2006,482.957,Definitivo
2005,466.371,Definitivo
2004,454.591,Definitivo
2003,441.881,Definitivo
2002,418.846,Definitivo
2001,406.380,Definitivo
2000,397.632,Definitivo
1999,380.130,Definitivo
1998,365.193,Definitivo
1997,369.035,Definitivo
1996,362.626,Definitivo
1995,363.469,Definitivo
1994,370.148,Definitivo
1993,385.786,Definitivo
1992,396.747,Definitivo
1991,395.989,Definitivo
1990,401.425,Definitivo
1989,408.434,Definitivo
1988,418.919,Definitivo
1987,426.782,Definitivo
