Ticker,Date,Close,Max,Min,Open,Volumen
AE,20211001,771.96,771.19,761.82,766.95,766
AI,20210126,0.125,0.1256,0.119,0.12,7192514
AI,20210806,0.093,0.0956,0.0927,0.0938,419384
AI,20211215,0.093,0.094,0.09,0.09,1160448
AI,20211228,0.093,0.0931,0.09,0.09,1817072
AI,20211014,0.1052,0.11,0.1052,0.1066,2285473
AI,20210201,0.1174,0.1198,0.1102,0.1148,9742356
AI,20210309,0.1174,0.1214,0.1174,0.118,3854936
AI,20210414,0.1174,0.124,0.1168,0.1228,7083175
AI,20211122,0.0915,0.096,0.0915,0.095,2115136
AI,20211216,0.0915,0.0939,0.0892,0.0907,954194
AI,20210122,0.122,0.1232,0.117,0.1198,6793307
AI,20210125,0.122,0.1308,0.1216,0.123,8600810
AI,20210520,0.122,0.126,0.12,0.1204,3666099
AI,20210426,0.1312,0.1328,0.129,0.1292,2985221
AI,20210803,0.09,0.097,0.0882,0.0942,4662840
AI,20211217,0.09,0.0912,0.089,0.0896,726693
AI,20211124,0.0961,0.103,0.095,0.101,3863275
AI,20211125,0.1022,0.1026,0.098,0.1,797729
AI,20210503,0.1282,0.1288,0.124,0.1274,1977318
AI,20210504,0.1282,0.1282,0.1232,0.1236,4630454
AI,20210812,0.0885,0.096,0.0883,0.093,2239408
AI,20210813,0.0885,0.094,0.091,0.0917,493830
AI,20210809,0.0946,0.0946,0.0928,0.0931,362994
AI,20210205,0.119,0.1228,0.117,0.117,7211280
AI,20210513,0.119,0.1194,0.117,0.118,740919
AI,20210607,0.119,0.119,0.1164,0.1166,605935
AI,20211001,0.1068,0.1078,0.105,0.106,1461227
AI,20210218,0.1252,0.126,0.1214,0.1226,2505256
AI,20211020,0.1114,0.1114,0.1084,0.1084,808799
AI,20210129,0.1236,0.1236,0.1176,0.119,5015114
AI,20210224,0.1236,0.1236,0.1198,0.121,1779859
AI,20211112,0.1038,0.104,0.1026,0.1034,587328
AI,20210304,0.116,0.1164,0.1132,0.1148,2261790
AI,20210325,0.116,0.117,0.1144,0.1168,1636339
AI,20210707,0.116,0.1178,0.1104,0.1142,1056423
AI,20211019,0.116,0.116,0.109,0.1112,1088370
AI,20211222,0.084,0.0898,0.084,0.0897,2284672
AI,20210723,0.1084,0.1084,0.1028,0.1046,956909
AI,20210915,0.1084,0.1106,0.1084,0.109,486829
AI,20210916,0.1084,0.109,0.107,0.1074,1135939
AI,20210211,0.1284,0.1284,0.1204,0.1216,4915421
AI,20210429,0.1284,0.1286,0.1234,0.124,4321819
AI,20210212,0.1206,0.1216,0.1188,0.1206,2589288
AI,20210511,0.1206,0.1206,0.117,0.117,2085355
AI,20210111,0.1406,0.1472,0.1386,0.1392,20844817
AI,20210730,0.1008,0.101,0.0965,0.0965,1983551
AI,20210204,0.113,0.1188,0.112,0.1164,5783769
AI,20210913,0.113,0.1138,0.1096,0.1096,1111121
AI,20210322,0.1176,0.1176,0.1122,0.1142,2883081
AI,20210616,0.1176,0.1208,0.1164,0.1178,2212910
AI,20210618,0.1176,0.1176,0.1146,0.1146,1408222
AI,20210705,0.1176,0.1178,0.1132,0.1174,745091
AI,20210715,0.11,0.111,0.1084,0.11,782416
AI,20210908,0.11,0.111,0.1082,0.1102,385792
AI,20210920,0.11,0.1104,0.1034,0.105,1068924
AI,20210823,0.0963,0.1188,0.0963,0.1188,11697264
AI,20211227,0.0963,0.098,0.093,0.0931,1274033
AI,20210330,0.1146,0.1166,0.1144,0.1154,1636556
AI,20210625,0.1146,0.118,0.1144,0.1166,1145655
AI,20211116,0.1024,0.1054,0.1024,0.1026,847160
AI,20210216,0.1286,0.1312,0.128,0.1294,4769861
AI,20210804,0.0948,0.095,0.092,0.0939,988350
AI,20210923,0.107,0.1086,0.106,0.107,829986
AI,20210105,0.1192,0.123,0.118,0.1226,5169880
AI,20210324,0.1192,0.1192,0.114,0.117,1379080
AI,20210831,0.1116,0.1146,0.1072,0.1094,3121265
AI,20210927,0.1116,0.112,0.1084,0.111,1269593
AI,20211006,0.104,0.1052,0.102,0.1028,890163
AI,20211104,0.104,0.1072,0.1022,0.1034,2821796
AI,20210810,0.0918,0.0939,0.0901,0.0901,850255
AI,20210531,0.1162,0.1184,0.116,0.1168,1285721
AI,20210602,0.1162,0.1208,0.1162,0.1184,2423862
AI,20210928,0.1086,0.111,0.1082,0.109,527316
AI,20211028,0.1086,0.1118,0.1074,0.109,748378
AI,20210104,0.1208,0.1238,0.12,0.12,4811381
AI,20210517,0.1208,0.1224,0.1194,0.1206,1544914
AI,20210729,0.101,0.1022,0.1008,0.101,911242
AI,20210301,0.1258,0.1258,0.1162,0.1184,5014797
AI,20210420,0.135,0.137,0.1284,0.131,19044209
AI,20210716,0.1102,0.111,0.1078,0.1082,774280
AI,20210120,0.132,0.1326,0.127,0.128,3739072
AI,20211220,0.0904,0.0905,0.0864,0.0871,1105032
AI,20210819,0.0965,0.0966,0.093,0.094,968951
AI,20210818,0.095,0.0969,0.0926,0.093,543703
AI,20211110,0.1072,0.1072,0.1036,0.1036,1098705
AI,20210107,0.1382,0.142,0.131,0.132,20972030
AI,20210315,0.126,0.128,0.1228,0.1258,4322877
AI,20211202,0.0935,0.0937,0.0922,0.0937,970962
AI,20211026,0.1118,0.1124,0.11,0.1116,476965
AI,20210209,0.124,0.1282,0.1232,0.128,10301421
AI,20210223,0.124,0.1244,0.119,0.1232,5646013
AI,20210415,0.124,0.126,0.1202,0.1208,4460140
AI,20210430,0.124,0.1282,0.123,0.1262,3694148
AI,20211129,0.092,0.098,0.0911,0.0956,2160483
AI,20210728,0.1042,0.1042,0.1002,0.1014,1673740
AI,20210331,0.1164,0.121,0.1132,0.121,6090006
AI,20210608,0.1164,0.1178,0.1162,0.117,859984
AI,20210215,0.121,0.128,0.1202,0.128,3563045
AI,20210416,0.121,0.128,0.1204,0.1244,7090236
AI,20210802,0.0951,0.0961,0.0919,0.0932,2477493
AI,20210128,0.118,0.1228,0.107,0.122,10756510
AI,20210302,0.118,0.1188,0.115,0.1158,4979147
AI,20210303,0.118,0.118,0.116,0.1166,894838
AI,20210408,0.118,0.1216,0.116,0.1196,2419157
AI,20210623,0.118,0.118,0.114,0.1146,1039118
AI,20210909,0.1104,0.1108,0.108,0.108,906193
AI,20210524,0.1226,0.123,0.1214,0.1228,1047696
AI,20211111,0.1028,0.1056,0.1022,0.1034,972465
AI,20210202,0.115,0.1176,0.1122,0.113,3296684
AI,20210326,0.115,0.1172,0.1144,0.1154,1132175
AI,20210528,0.115,0.1198,0.115,0.1166,2282091
AI,20210930,0.1074,0.1088,0.1066,0.107,769863
AI,20210310,0.1196,0.1258,0.1184,0.1246,6971962
AI,20210617,0.1196,0.1196,0.1168,0.118,792554
AI,20210121,0.1264,0.129,0.1194,0.12,8051547
AI,20210112,0.1386,0.14,0.135,0.138,6460188
AI,20210709,0.112,0.1122,0.109,0.1116,2100565
AI,20210825,0.112,0.112,0.1062,0.1062,3060856
AI,20210922,0.112,0.1122,0.106,0.107,2214867
AI,20211022,0.112,0.1124,0.11,0.1106,720986
AI,20211025,0.112,0.1126,0.1086,0.1118,846248
AI,20210507,0.1166,0.12,0.1156,0.1178,3721406
AI,20210609,0.1166,0.117,0.1136,0.1146,1683771
AI,20210611,0.1166,0.1174,0.114,0.1144,1234907
AI,20211013,0.1044,0.1052,0.1026,0.1052,749942
AI,20210714,0.109,0.111,0.109,0.109,562946
AI,20210917,0.109,0.109,0.106,0.1072,874048
AI,20210929,0.109,0.11,0.1072,0.1074,715341
AI,20211102,0.109,0.123,0.1056,0.107,15054052
AI,20210210,0.1296,0.132,0.1234,0.1254,8015952
