Ticker,Date,Close,Max,Min,Open,Volumen
AI,20220404,0.0869,0.087,0.0844,0.0859,1556933
AI,20220406,0.0854,0.0873,0.0826,0.0826,1659664
AI,20220408,0.0839,0.0858,0.079,0.0821,1985805
AI,20220126,0.09,0.0906,0.0875,0.09,1037196
AI,20220131,0.09,0.09,0.0885,0.0899,264337
AI,20220201,0.09,0.09,0.0883,0.0887,420000
AI,20220202,0.09,0.0918,0.0886,0.0918,885650
AI,20220203,0.09,0.0948,0.09,0.0944,926828
AI,20220207,0.09,0.0921,0.0883,0.089,1106672
AI,20220318,0.09,0.0917,0.0864,0.087,2124814
AI,20220210,0.0885,0.0907,0.088,0.0889,1423922
AI,20220517,0.0809,0.081,0.08,0.08,634048
AI,20220217,0.087,0.0883,0.0855,0.086,653769
AI,20220322,0.087,0.0889,0.0855,0.0862,768050
AI,20220413,0.087,0.087,0.0837,0.0857,342786
AI,20220706,0.0672,0.0699,0.0656,0.0699,1502994
AI,20220428,0.0855,0.0855,0.0823,0.0841,1298292
AI,20220107,0.0962,0.0989,0.096,0.0965,776272
AI,20220114,0.0962,0.0962,0.0939,0.0953,422835
AI,20220407,0.084,0.0859,0.0831,0.0839,1388702
AI,20220429,0.084,0.0844,0.0829,0.0831,253209
AI,20220506,0.084,0.0849,0.0811,0.0811,782417
AI,20220530,0.084,0.085,0.0825,0.0835,691280
AI,20220512,0.0825,0.0838,0.0813,0.0815,409369
AI,20220118,0.0947,0.0948,0.0918,0.0918,620210
AI,20220103,0.0871,0.0959,0.0848,0.0959,6090141
AI,20220323,0.0871,0.0873,0.0847,0.0856,995485
AI,20220505,0.0871,0.0882,0.0839,0.0839,1283042
AI,20220425,0.081,0.0822,0.08,0.0815,2314094
AI,20220510,0.081,0.0847,0.0805,0.082,608681
AI,20220511,0.081,0.0844,0.081,0.0832,586510
AI,20220329,0.0856,0.0888,0.0842,0.0864,2541987
AI,20220330,0.0856,0.0884,0.085,0.0861,1315094
AI,20220302,0.078,0.0842,0.0762,0.0834,1288157
AI,20220630,0.078,0.0789,0.077,0.0779,644650
AI,20220701,0.078,0.0772,0.0737,0.0752,1049068
AI,20220208,0.0902,0.092,0.089,0.09,679475
AI,20220427,0.0826,0.0872,0.0815,0.0848,2793603
AI,20220331,0.0872,0.0872,0.085,0.0856,480829
AI,20220509,0.0811,0.0838,0.081,0.081,745493
AI,20220516,0.0811,0.0811,0.0796,0.0801,352460
AI,20220414,0.0857,0.0889,0.0842,0.0844,1263440
AI,20220628,0.0796,0.0802,0.0785,0.08,322953
AI,20220531,0.0842,0.0843,0.0828,0.0835,436329
AI,20220426,0.0827,0.0835,0.0808,0.0808,706347
AI,20220601,0.0827,0.0874,0.082,0.084,2596441
AI,20220613,0.0812,0.0824,0.08,0.0803,971776
AI,20220714,0.0736,0.0736,0.0708,0.071,96344
AI,20220316,0.0858,0.086,0.0835,0.0845,1445283
AI,20220324,0.0858,0.0885,0.084,0.087,1195601
AI,20220608,0.0858,0.0858,0.0843,0.0843,416687
AI,20220105,0.098,0.1016,0.098,0.0999,1401601
AI,20220106,0.098,0.0998,0.0955,0.0976,1758560
AI,20220708,0.0721,0.0721,0.0685,0.0716,573829
AI,20220110,0.0965,0.1006,0.0925,0.0955,3943065
AI,20220112,0.0965,0.0979,0.094,0.0945,1127891
AI,20220117,0.095,0.0953,0.0913,0.0933,656824
AI,20220317,0.0874,0.0929,0.086,0.089,6215343
AI,20220705,0.0737,0.0749,0.0691,0.0691,889191
AI,20220310,0.0798,0.0803,0.0783,0.0802,650705
AI,20220204,0.092,0.094,0.0901,0.0909,966856
AI,20220401,0.0859,0.0874,0.085,0.0868,806638
AI,20220211,0.089,0.0895,0.086,0.0865,1804020
AI,20220301,0.0799,0.084,0.0795,0.0826,3504437
AI,20220615,0.0799,0.0816,0.077,0.0813,756661
AI,20220627,0.0799,0.0804,0.0785,0.0804,537166
AI,20220214,0.086,0.0889,0.0813,0.0831,2297913
AI,20220412,0.086,0.0874,0.0842,0.0862,1324796
AI,20220504,0.086,0.0889,0.0841,0.086,2872936
AI,20220225,0.0769,0.0818,0.0769,0.0795,1796193
AI,20220125,0.0815,0.0912,0.0815,0.0899,3875886
AI,20220621,0.0815,0.0818,0.0794,0.0818,532971
AI,20220119,0.0937,0.0944,0.0912,0.0935,683497
AI,20220224,0.08,0.08,0.0752,0.0786,3256997
AI,20220311,0.08,0.0819,0.0793,0.0814,1684520
AI,20220623,0.08,0.0807,0.0793,0.0795,216312
AI,20220624,0.08,0.08,0.0779,0.0794,642208
AI,20220307,0.0785,0.081,0.0742,0.0799,2149801
AI,20220309,0.0785,0.0819,0.0785,0.0797,2048532
AI,20220215,0.0846,0.089,0.0846,0.0861,2222522
AI,20220113,0.0968,0.0968,0.0939,0.095,620024
AI,20220223,0.0831,0.0849,0.0821,0.0825,1313596
AI,20220314,0.0816,0.0827,0.0793,0.0825,2341788
AI,20220328,0.0877,0.0877,0.0829,0.0856,955590
AI,20220620,0.0801,0.0815,0.079,0.0814,190715
AI,20220209,0.0908,0.0908,0.0882,0.0891,1592637
AI,20220104,0.0969,0.1018,0.0952,0.0991,3998976
AI,20220420,0.0832,0.0843,0.0826,0.0838,969928
AI,20220422,0.0832,0.0839,0.0822,0.0839,511623
AI,20220527,0.0832,0.0848,0.0821,0.0845,1214074
AI,20220622,0.0817,0.0817,0.0798,0.0811,470860
AI,20220713,0.068,0.0725,0.0676,0.0725,501180
AI,20220616,0.0787,0.0811,0.0787,0.0808,473911
AI,20220315,0.0833,0.0859,0.0803,0.0839,2043021
AI,20220419,0.0833,0.085,0.083,0.083,1108023
AI,20220609,0.0833,0.0854,0.083,0.084,454550
AI,20220526,0.0818,0.083,0.0812,0.083,971065
AI,20220606,0.0818,0.0836,0.0816,0.082,406239
AI,20220321,0.0895,0.0895,0.0826,0.0855,1476718
AI,20220124,0.088,0.0889,0.0812,0.0832,2960282
AI,20220502,0.085,0.085,0.0813,0.085,599171
AI,20220503,0.085,0.0862,0.0826,0.0851,899861
AI,20220218,0.0835,0.0879,0.0835,0.0848,944188
AI,20220127,0.0881,0.0912,0.0881,0.091,1409748
AI,20220607,0.082,0.0863,0.081,0.0845,1130848
AI,20220614,0.082,0.082,0.0799,0.0799,322475
AI,20220120,0.0942,0.0942,0.0913,0.0913,335481
AI,20220411,0.0805,0.0865,0.0805,0.0857,1951611
AI,20220513,0.0805,0.083,0.0794,0.0796,1426744
AI,20220518,0.0805,0.081,0.0795,0.0795,654018
AI,20220304,0.079,0.084,0.0787,0.08,2077507
AI,20220222,0.0851,0.0851,0.082,0.084,1153550
AI,20220602,0.0836,0.0845,0.0818,0.0826,758327
AI,20220111,0.0943,0.0988,0.0935,0.0959,2659131
AI,20220303,0.0821,0.0845,0.0785,0.0791,1092944
AI,20220221,0.0867,0.0868,0.0845,0.0863,393270
AI,20220308,0.0806,0.0806,0.0755,0.08,1265383
AI,20220525,0.0806,0.0821,0.0806,0.0817,301351
AI,20220519,0.0791,0.0808,0.0791,0.0806,937270
AI,20220617,0.0791,0.0813,0.0791,0.08,450503
AI,20220121,0.0913,0.0913,0.089,0.089,1654905
AI,20220421,0.0837,0.0844,0.0825,0.0832,538859
AI,20220707,0.07,0.0712,0.069,0.0711,472461
AI,20220711,0.07,0.0724,0.0691,0.0698,350765
AI,20220712,0.07,0.07,0.0679,0.0691,375819
AI,20220715,0.07,0.0716,0.0681,0.0713,229673
AI,20220325,0.0883,0.0883,0.0844,0.0846,901663
AI,20220405,0.0868,0.0874,0.086,0.0871,543590
AI,20220704,0.0731,0.0758,0.0721,0.0721,1249577
AI,20220128,0.0914,0.0914,0.088,0.09,1942564
AI,20220629,0.0792,0.0808,0.0781,0.0793,698624
AI,20220228,0.0823,0.0823,0.0769,0.08,2072558
AI,20220603,0.0823,0.0825,0.0815,0.0815,481355
AI,20220610,0.0823,0.0838,0.0814,0.0819,756926
AI,20220718,0.0712,0.0712,0.0693,0.0707,296154
AI,20220719,0.0714,0.0714,0.0695,0.0705,238536
AI,20220720,0.0694,0.071,0.069,0.0699,397544
AI,20220721,0.069,0.07,0.069,0.0691,670582
AI,20220722,0.0701,0.071,0.0694,0.0709,254989
AI,20220725,0.0709,0.071,0.0692,0.071,648375
AI,20220726,0.0694,0.07,0.0694,0.0694,324339
AI,20220727,0.0709,0.0817,0.0709,0.0809,6799895
AI,20220728,0.082,0.084,0.0761,0.0799,3912649
AI,20220729,0.0818,0.0818,0.0756,0.0763,1214593
AI,20220801,0.0799,0.083,0.078,0.078,2168762
AI,20220802,0.082,0.082,0.0783,0.08,355322
AI,20220803,0.0812,0.0812,0.0769,0.08,469997
AI,20220804,0.0772,0.08,0.0763,0.0795,610077
