0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,class
1370.0,12.6012,-5395.5,1.2953,1.999,7.296,9.1637,64.7823,87.3675,119.2618,81.59,2.925,2871.0,4.5444,31.0876,631.6264,3.882,15.74,1.366,2.594,0.6621,3.072,0.7348,2.2809,43.3855,50.5,8.62,19.7442,152.4982,1.8065,0.1196,0.219,0.301,0.0306,0.0137,5.8125,1.3882,2.2872,40.8061,2.6013,5.7353,0.0,9.3914,12.2248,514.4364,1.866,1.2571,0.3315,67.3679,0.0131,0.0331,0.0151,141.6245,-1.0
1236.0,12.4614,-5729.5,1.31,1.9923,7.3645,8.6556,64.2946,86.3125,118.1824,81.73,2.54,2845.0,4.5622,36.283,640.5318,4.333,15.98,1.135,2.545,0.6894,3.014,0.7284,2.2216,41.2332,54.7,6.2,19.705,178.9413,3.6996,0.1087,0.2378,0.324,0.0452,0.0105,13.4098,0.9075,2.5167,42.4595,1.2047,4.0285,0.0,5.992000000000001,14.5355,532.2427,1.9313,0.3876,0.1319,20.0671,0.0176,0.0144,0.0023,55.8468,-1.0
1513.0,12.6627,-5370.25,1.2428,2.0072,7.2348,8.8054,64.1615,86.2893,120.7654,79.58,2.597,2883.0,4.5509,19.8525,631.9936,2.431,15.77,0.9885,2.951,0.4492,3.5780000000000003,0.8781,2.3187,39.065,27.9001,10.69,10.9801,408.3987,3.2456,0.1617,0.2569,0.2448,0.0783,0.0416,5.0152,1.3978,1.2735,35.6365,6.9249,6.981,0.0,11.6176,54.6099,536.9836,1.8675,0.222,0.0674,11.8876,0.0166,0.0197,0.0022,34.6093,-1.0
875.0,12.5376,-6521.5,0.991,1.8592,5.0615,9.0811,64.1481,86.8444,117.6492,78.98,2.911,2816.0,4.8111,31.4433,614.9255,6.101,15.81,1.824,2.536,0.9561,3.2460000000000004,0.5952,2.2646,40.201,69.7998,9.24,20.6914,132.043,2.3963,0.1566,0.2889,0.3455,0.0733,0.0274,5.5074,1.3784,3.1534,36.4402,1.506,6.1402,0.0,9.0727,29.0984,535.9636,2.2026,0.3033,0.0956,13.7684,0.0126,0.0117,0.0089,223.1018,-1.0
1485.0,12.5582,-4821.5,1.32,2.0263,7.3878,9.004,64.0727,86.4814,119.623,12.77,4.597,2822.0,4.5342,31.0334,628.1964,4.413,15.56,1.182,2.438,0.7416,3.194,0.6289,2.2982,44.5879,27.2,3.53,10.566,160.5689,2.7188,0.1737,0.2446,0.2828,0.0791,0.0309,4.9568,0.7733,1.234,18.4703,10.0679,2.406,0.0,6.214,24.6378,536.5927,2.1566,0.4432,0.1331,20.5512,0.0153,0.0104,0.0061,178.0405,-1.0
1270.0,12.4647,-5834.75,1.3247,1.9625,7.3258,8.2914,64.6693,86.5211,118.4178,80.39,2.834,2852.0,4.4676,25.4798,624.0073,4.25,16.07,1.281,2.608,0.6914,3.014,0.7403,2.1911,40.2187,46.0999,3.5,18.6685,220.8321,3.9649,0.1227,0.2372,0.2438,0.085,0.0104,9.2412,1.4174,2.1212,58.9243,3.465,2.3933,819.6721,12.4529,66.6983,528.5973,2.22,0.2848,0.0859,12.8307,0.0161,0.0184,0.0054,80.1759,-1.0
153.0,12.4827,-5098.25,1.3015,2.0083,7.352,8.7599,63.9715,86.838,117.6882,79.42,1.886,2907.0,4.6623,32.8478,606.58,3.736,15.68,1.021,2.65,0.628,3.196,0.7453,2.3613,41.1412,81.4001,4.03,25.5822,238.6018,2.2961,0.1391,0.2232,0.2789,0.0749,0.0335,3.5029,1.3055,3.6303,43.71100000000001,1.5934,2.7354,0.0,9.7683,13.9158,534.2527,1.9665,0.1497,0.049,7.6104,0.0147,0.0199,0.0043,58.5665,-1.0
689.0,12.4896,-5513.5,1.3048,2.0317,7.4433,9.754,63.9959,87.1954,118.0116,65.11,3.462,2834.0,4.5319,23.2157,611.5064,3.5410000000000004,15.87,0.9365,2.841,0.5873,3.21,0.7747,2.3604,38.4421,49.5,9.9,16.5459,75.9057,1.6608,0.147,0.222,0.358,0.1012,0.0142,8.7842,1.0427,2.2715,24.9236,4.4789,6.8674,0.0,9.8569,47.843,532.1318,2.3355,0.4057,0.13,17.3695,0.0116,0.0154,0.004,73.6411,-1.0
1415.0,12.5292,-5657.5,1.294,2.0093,7.405,8.5615,63.9323,87.1811,115.9036,78.7,2.8510000000000004,2820.0,4.5909,28.5474,620.7191,4.138,15.73,1.13,2.673,0.6844,3.225,0.7269,2.2711,35.542,66.5999,5.9,23.5084,92.9834,1.7702,0.0907,0.1458,0.3073,0.0956,0.0146,5.9663,1.1919,3.0976,23.5855,4.6784,3.9613,0.0,10.9105,58.4324,531.7464,2.2909,0.2908,0.0849,12.6938,0.0097,0.0122,0.0028,65.4842,-1.0
391.0,12.4469,-6203.25,1.2663,2.0083,7.3698,8.6527,63.9211,86.9642,118.102,77.24,2.914,2802.0,4.6801,37.0683,605.9827,4.409,15.76,1.347,2.481,0.6808,3.0210000000000004,0.6834,2.3177,37.916,53.9001,8.59,18.5853,159.8244,3.1379,0.1094,0.1862,0.3229,0.0969,0.0219,3.3997,1.1348,2.4348,37.3339,5.8260000000000005,5.7366,301.4493,7.5042,11.6115,533.9055,2.3606,0.4854,0.1218,20.5636,0.0269,0.0104,0.0024,79.8045,-1.0
