Date,Total_debt,Debt_GDP_percentage,Debt_per_capita
1994-01-01,249508.0,58.68,6294.0
1994-01-02,249508.0,58.68,6294.0
1994-01-03,249508.0,58.68,6294.0
1994-01-04,249508.0,58.68,6294.0
1994-01-05,249508.0,58.68,6294.0
1994-01-06,249508.0,58.68,6294.0
1994-01-07,249508.0,58.68,6294.0
1994-01-08,249508.0,58.68,6294.0
1994-01-09,249508.0,58.68,6294.0
1994-01-10,249508.0,58.68,6294.0
1994-01-11,249508.0,58.68,6294.0
1994-01-12,249508.0,58.68,6294.0
1994-01-13,249508.0,58.68,6294.0
1994-01-14,249508.0,58.68,6294.0
1994-01-15,249508.0,58.68,6294.0
1994-01-16,249508.0,58.68,6294.0
1994-01-17,249508.0,58.68,6294.0
1994-01-18,249508.0,58.68,6294.0
1994-01-19,249508.0,58.68,6294.0
1994-01-20,249508.0,58.68,6294.0
1994-01-21,249508.0,58.68,6294.0
1994-01-22,249508.0,58.68,6294.0
1994-01-23,249508.0,58.68,6294.0
1994-01-24,249508.0,58.68,6294.0
1994-01-25,249508.0,58.68,6294.0
1994-01-26,249508.0,58.68,6294.0
1994-01-27,249508.0,58.68,6294.0
1994-01-28,249508.0,58.68,6294.0
1994-01-29,249508.0,58.68,6294.0
1994-01-30,249508.0,58.68,6294.0
1994-01-31,249508.0,58.68,6294.0
1994-02-01,249508.0,58.68,6294.0
1994-02-02,249508.0,58.68,6294.0
1994-02-03,249508.0,58.68,6294.0
1994-02-04,249508.0,58.68,6294.0
1994-02-05,249508.0,58.68,6294.0
1994-02-06,249508.0,58.68,6294.0
1994-02-07,249508.0,58.68,6294.0
1994-02-08,249508.0,58.68,6294.0
1994-02-09,249508.0,58.68,6294.0
1994-02-10,249508.0,58.68,6294.0
1994-02-11,249508.0,58.68,6294.0
1994-02-12,249508.0,58.68,6294.0
1994-02-13,249508.0,58.68,6294.0
1994-02-14,249508.0,58.68,6294.0
1994-02-15,249508.0,58.68,6294.0
1994-02-16,249508.0,58.68,6294.0
1994-02-17,249508.0,58.68,6294.0
1994-02-18,249508.0,58.68,6294.0
1994-02-19,249508.0,58.68,6294.0
1994-02-20,249508.0,58.68,6294.0
1994-02-21,249508.0,58.68,6294.0
1994-02-22,249508.0,58.68,6294.0
1994-02-23,249508.0,58.68,6294.0
1994-02-24,249508.0,58.68,6294.0
1994-02-25,249508.0,58.68,6294.0
1994-02-26,249508.0,58.68,6294.0
1994-02-27,249508.0,58.68,6294.0
1994-02-28,249508.0,58.68,6294.0
1994-03-01,249508.0,58.68,6294.0
1994-03-02,249508.0,58.68,6294.0
1994-03-03,249508.0,58.68,6294.0
1994-03-04,249508.0,58.68,6294.0
1994-03-05,249508.0,58.68,6294.0
1994-03-06,249508.0,58.68,6294.0
1994-03-07,249508.0,58.68,6294.0
1994-03-08,249508.0,58.68,6294.0
1994-03-09,249508.0,58.68,6294.0
1994-03-10,249508.0,58.68,6294.0
1994-03-11,249508.0,58.68,6294.0
1994-03-12,249508.0,58.68,6294.0
1994-03-13,249508.0,58.68,6294.0
1994-03-14,249508.0,58.68,6294.0
1994-03-15,249508.0,58.68,6294.0
1994-03-16,249508.0,58.68,6294.0
1994-03-17,249508.0,58.68,6294.0
1994-03-18,249508.0,58.68,6294.0
1994-03-19,249508.0,58.68,6294.0
1994-03-20,249508.0,58.68,6294.0
1994-03-21,249508.0,58.68,6294.0
1994-03-22,249508.0,58.68,6294.0
1994-03-23,249508.0,58.68,6294.0
1994-03-24,249508.0,58.68,6294.0
1994-03-25,249508.0,58.68,6294.0
1994-03-26,249508.0,58.68,6294.0
1994-03-27,249508.0,58.68,6294.0
1994-03-28,249508.0,58.68,6294.0
1994-03-29,249508.0,58.68,6294.0
1994-03-30,249508.0,58.68,6294.0
1994-03-31,249508.0,58.68,6294.0
1994-04-01,249508.0,58.68,6294.0
1994-04-02,249508.0,58.68,6294.0
1994-04-03,249508.0,58.68,6294.0
1994-04-04,249508.0,58.68,6294.0
1994-04-05,249508.0,58.68,6294.0
1994-04-06,249508.0,58.68,6294.0
1994-04-07,249508.0,58.68,6294.0
1994-04-08,249508.0,58.68,6294.0
1994-04-09,249508.0,58.68,6294.0
1994-04-10,249508.0,58.68,6294.0
1994-04-11,249508.0,58.68,6294.0
1994-04-12,249508.0,58.68,6294.0
1994-04-13,249508.0,58.68,6294.0
1994-04-14,249508.0,58.68,6294.0
1994-04-15,249508.0,58.68,6294.0
1994-04-16,249508.0,58.68,6294.0
1994-04-17,249508.0,58.68,6294.0
1994-04-18,249508.0,58.68,6294.0
1994-04-19,249508.0,58.68,6294.0
1994-04-20,249508.0,58.68,6294.0
1994-04-21,249508.0,58.68,6294.0
1994-04-22,249508.0,58.68,6294.0
1994-04-23,249508.0,58.68,6294.0
1994-04-24,249508.0,58.68,6294.0
1994-04-25,249508.0,58.68,6294.0
1994-04-26,249508.0,58.68,6294.0
1994-04-27,249508.0,58.68,6294.0
1994-04-28,249508.0,58.68,6294.0
1994-04-29,249508.0,58.68,6294.0
1994-04-30,249508.0,58.68,6294.0
1994-05-01,249508.0,58.68,6294.0
1994-05-02,249508.0,58.68,6294.0
1994-05-03,249508.0,58.68,6294.0
1994-05-04,249508.0,58.68,6294.0
1994-05-05,249508.0,58.68,6294.0
1994-05-06,249508.0,58.68,6294.0
1994-05-07,249508.0,58.68,6294.0
1994-05-08,249508.0,58.68,6294.0
1994-05-09,249508.0,58.68,6294.0
1994-05-10,249508.0,58.68,6294.0
1994-05-11,249508.0,58.68,6294.0
1994-05-12,249508.0,58.68,6294.0
1994-05-13,249508.0,58.68,6294.0
1994-05-14,249508.0,58.68,6294.0
1994-05-15,249508.0,58.68,6294.0
1994-05-16,249508.0,58.68,6294.0
1994-05-17,249508.0,58.68,6294.0
1994-05-18,249508.0,58.68,6294.0
1994-05-19,249508.0,58.68,6294.0
1994-05-20,249508.0,58.68,6294.0
1994-05-21,249508.0,58.68,6294.0
1994-05-22,249508.0,58.68,6294.0
1994-05-23,249508.0,58.68,6294.0
1994-05-24,249508.0,58.68,6294.0
1994-05-25,249508.0,58.68,6294.0
1994-05-26,249508.0,58.68,6294.0
1994-05-27,249508.0,58.68,6294.0
1994-05-28,249508.0,58.68,6294.0
1994-05-29,249508.0,58.68,6294.0
1994-05-30,249508.0,58.68,6294.0
1994-05-31,249508.0,58.68,6294.0
1994-06-01,249508.0,58.68,6294.0
1994-06-02,249508.0,58.68,6294.0
1994-06-03,249508.0,58.68,6294.0
1994-06-04,249508.0,58.68,6294.0
1994-06-05,249508.0,58.68,6294.0
1994-06-06,249508.0,58.68,6294.0
1994-06-07,249508.0,58.68,6294.0
1994-06-08,249508.0,58.68,6294.0
1994-06-09,249508.0,58.68,6294.0
1994-06-10,249508.0,58.68,6294.0
1994-06-11,249508.0,58.68,6294.0
1994-06-12,249508.0,58.68,6294.0
1994-06-13,249508.0,58.68,6294.0
1994-06-14,249508.0,58.68,6294.0
1994-06-15,249508.0,58.68,6294.0
1994-06-16,249508.0,58.68,6294.0
1994-06-17,249508.0,58.68,6294.0
1994-06-18,249508.0,58.68,6294.0
1994-06-19,249508.0,58.68,6294.0
1994-06-20,249508.0,58.68,6294.0
1994-06-21,249508.0,58.68,6294.0
1994-06-22,249508.0,58.68,6294.0
1994-06-23,249508.0,58.68,6294.0
1994-06-24,249508.0,58.68,6294.0
1994-06-25,249508.0,58.68,6294.0
1994-06-26,249508.0,58.68,6294.0
1994-06-27,249508.0,58.68,6294.0
1994-06-28,249508.0,58.68,6294.0
1994-06-29,249508.0,58.68,6294.0
1994-06-30,249508.0,58.68,6294.0
1994-07-01,249508.0,58.68,6294.0
1994-07-02,249508.0,58.68,6294.0
1994-07-03,249508.0,58.68,6294.0
1994-07-04,249508.0,58.68,6294.0
1994-07-05,249508.0,58.68,6294.0
1994-07-06,249508.0,58.68,6294.0
1994-07-07,249508.0,58.68,6294.0
1994-07-08,249508.0,58.68,6294.0
1994-07-09,249508.0,58.68,6294.0
1994-07-10,249508.0,58.68,6294.0
1994-07-11,249508.0,58.68,6294.0
1994-07-12,249508.0,58.68,6294.0
1994-07-13,249508.0,58.68,6294.0
1994-07-14,249508.0,58.68,6294.0
1994-07-15,249508.0,58.68,6294.0
1994-07-16,249508.0,58.68,6294.0
1994-07-17,249508.0,58.68,6294.0
1994-07-18,249508.0,58.68,6294.0
1994-07-19,249508.0,58.68,6294.0
1994-07-20,249508.0,58.68,6294.0
1994-07-21,249508.0,58.68,6294.0
1994-07-22,249508.0,58.68,6294.0
1994-07-23,249508.0,58.68,6294.0
1994-07-24,249508.0,58.68,6294.0
1994-07-25,249508.0,58.68,6294.0
1994-07-26,249508.0,58.68,6294.0
1994-07-27,249508.0,58.68,6294.0
1994-07-28,249508.0,58.68,6294.0
1994-07-29,249508.0,58.68,6294.0
1994-07-30,249508.0,58.68,6294.0
1994-07-31,249508.0,58.68,6294.0
