Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2002-01-01,0.8895,0.8909,0.8913,0.8863
2002-01-02,0.9036,0.8896,0.9069,0.8883
2002-01-03,0.8996,0.9039,0.9062,0.8976
2002-01-04,0.895,0.8987,0.9003,0.8937
2002-01-05,0.895,0.8987,0.9003,0.8937
2002-01-06,0.895,0.8987,0.9003,0.8937
2002-01-07,0.8935,0.8951,0.8998,0.888
2002-01-08,0.8931,0.8936,0.8938,0.8881
2002-01-09,0.8914,0.8933,0.8953,0.8864
2002-01-10,0.8914,0.8909,0.894,0.8898
2002-01-11,0.8926,0.8914,0.8934,0.8896
2002-01-12,0.8926,0.8914,0.8934,0.8896
2002-01-13,0.8926,0.8914,0.8934,0.8896
2002-01-14,0.8944,0.8943,0.8956,0.8913
2002-01-15,0.8834,0.8946,0.8947,0.8826
2002-01-16,0.8829,0.8828,0.8847,0.8796
2002-01-17,0.8806,0.8825,0.8853,0.8786
2002-01-18,0.8843,0.8814,0.8859,0.8789
2002-01-19,0.8843,0.8814,0.8859,0.8789
2002-01-20,0.8843,0.8814,0.8859,0.8789
2002-01-21,0.8838,0.8837,0.8869,0.8824
2002-01-22,0.8861,0.8837,0.8867,0.881
2002-01-23,0.8779,0.8863,0.8892,0.8767
2002-01-24,0.8774,0.8784,0.8795,0.8749
2002-01-25,0.8661,0.8779,0.8787,0.8627
2002-01-26,0.8661,0.8779,0.8787,0.8627
2002-01-27,0.8661,0.8779,0.8787,0.8627
2002-01-28,0.8627,0.865,0.8664,0.8569
2002-01-29,0.8655,0.8623,0.866,0.8591
2002-01-30,0.8617,0.8655,0.8676,0.8599
2002-01-31,0.8585,0.8618,0.865,0.8577
2002-02-01,0.8621,0.8589,0.8644,0.8562
2002-02-02,0.8621,0.8589,0.8644,0.8562
2002-02-03,0.8621,0.8589,0.8644,0.8562
2002-02-04,0.8706,0.8619,0.8715,0.8602
2002-02-05,0.8677,0.8706,0.8732,0.8651
2002-02-06,0.8676,0.867,0.8708,0.8631
2002-02-07,0.871,0.8679,0.872,0.8643
2002-02-08,0.8735,0.8702,0.8756,0.8697
2002-02-09,0.8735,0.8702,0.8756,0.8697
2002-02-10,0.8735,0.8702,0.8756,0.8697
2002-02-11,0.8764,0.8704,0.8803,0.8704
2002-02-12,0.8765,0.8768,0.8802,0.8738
