Date,Debt,Percentage,Debt_per_capita
1995-01-02,252452.0,59.39,6369 
1995-01-03,252452.0,59.39,6369 
1995-01-04,252452.0,59.39,6369 
1995-01-05,252452.0,59.39,6369 
1995-01-09,252452.0,59.39,6369 
1995-01-10,252452.0,59.39,6369 
1995-01-11,252452.0,59.39,6369 
1995-01-12,252452.0,59.39,6369 
1995-01-13,252452.0,59.39,6369 
1995-01-16,252452.0,59.39,6369 
1995-01-17,252452.0,59.39,6369 
1995-01-18,252452.0,59.39,6369 
1995-01-19,252452.0,59.39,6369 
1995-01-20,252452.0,59.39,6369 
1995-01-23,252452.0,59.39,6369 
1995-01-24,252452.0,59.39,6369 
1995-01-25,252452.0,59.39,6369 
1995-01-26,252452.0,59.39,6369 
1995-01-27,252452.0,59.39,6369 
1995-01-30,252452.0,59.39,6369 
1995-01-31,252452.0,59.39,6369 
1995-02-01,259119.0,60.96,6537 
1995-02-02,259119.0,60.96,6537 
1995-02-03,259119.0,60.96,6537 
1995-02-06,259119.0,60.96,6537 
1995-02-07,259119.0,60.96,6537 
1995-02-08,259119.0,60.96,6537 
1995-02-09,259119.0,60.96,6537 
1995-02-10,259119.0,60.96,6537 
1995-02-13,259119.0,60.96,6537 
1995-02-14,259119.0,60.96,6537 
1995-02-15,259119.0,60.96,6537 
1995-02-16,259119.0,60.96,6537 
1995-02-17,259119.0,60.96,6537 
1995-02-20,259119.0,60.96,6537 
1995-02-21,259119.0,60.96,6537 
1995-02-22,259119.0,60.96,6537 
1995-02-23,259119.0,60.96,6537 
1995-02-24,259119.0,60.96,6537 
1995-02-27,259119.0,60.96,6537 
1995-02-28,259119.0,60.96,6537 
1995-03-01,261636.0,60.32,6600 
1995-03-02,261636.0,60.32,6600 
1995-03-03,261636.0,60.32,6600 
1995-03-06,261636.0,60.32,6600 
1995-03-07,261636.0,60.32,6600 
1995-03-08,261636.0,60.32,6600 
1995-03-09,261636.0,60.32,6600 
1995-03-10,261636.0,60.32,6600 
1995-03-13,261636.0,60.32,6600 
1995-03-14,261636.0,60.32,6600 
1995-03-15,261636.0,60.32,6600 
1995-03-16,261636.0,60.32,6600 
1995-03-17,261636.0,60.32,6600 
1995-03-21,261636.0,60.32,6600 
1995-03-22,261636.0,60.32,6600 
1995-03-23,261636.0,60.32,6600 
1995-03-24,261636.0,60.32,6600 
1995-03-27,261636.0,60.32,6600 
1995-03-28,261636.0,60.32,6600 
1995-03-29,261636.0,60.32,6600 
1995-03-30,261636.0,60.32,6600 
1995-03-31,261636.0,60.32,6600 
1995-04-03,259881.0,59.91,6556 
1995-04-04,259881.0,59.91,6556 
1995-04-05,259881.0,59.91,6556 
1995-04-06,259881.0,59.91,6556 
1995-04-07,259881.0,59.91,6556 
1995-04-10,259881.0,59.91,6556 
1995-04-11,259881.0,59.91,6556 
1995-04-12,259881.0,59.91,6556 
1995-04-17,259881.0,59.91,6556 
1995-04-18,259881.0,59.91,6556 
1995-04-19,259881.0,59.91,6556 
1995-04-20,259881.0,59.91,6556 
1995-04-21,259881.0,59.91,6556 
1995-04-24,259881.0,59.91,6556 
1995-04-25,259881.0,59.91,6556 
1995-04-26,259881.0,59.91,6556 
1995-04-27,259881.0,59.91,6556 
1995-04-28,259881.0,59.91,6556 
1995-05-03,262931.0,60.62,6633 
1995-05-04,262931.0,60.62,6633 
1995-05-05,262931.0,60.62,6633 
1995-05-08,262931.0,60.62,6633 
1995-05-09,262931.0,60.62,6633 
1995-05-10,262931.0,60.62,6633 
1995-05-11,262931.0,60.62,6633 
1995-05-12,262931.0,60.62,6633 
1995-05-16,262931.0,60.62,6633 
1995-05-17,262931.0,60.62,6633 
